key,kind,title,sidebar_title,slug,path,external_url,category,parent_key,nav_order,article_type,disposition,status,technical_risk,technical_status,public_safety_status,related_keys,summary,notes
hub-ssh-sftp,topic_hub,SSH and SFTP,SSH and SFTP,ssh-sftp,/docs/site-access/ssh-sftp/,,Site access,cat-access-users,1,overview,maintain,approved,C,validated,reviewed_safe,doc-ssh-sftp|doc-client-ssh|doc-user-ssh-sftp,"Choose the WP Cloud SSH or SFTP access model that fits a partner, developer, support, automation, or customer workflow.",Use one short term description; the theme lists the three child articles automatically.
doc-ssh-sftp,article,SSH and SFTP access models,Access models,access-models,/docs/site-access/ssh-sftp/access-models/,,Site access,hub-ssh-sftp,1,overview,maintain,approved,A,validated,reviewed_safe,doc-client-ssh|doc-user-ssh-sftp|doc-database-credentials|doc-phpmyadmin,"Compare Client SSH with site-scoped User SSH and SFTP access, and understand shared connection behavior, filesystem locations, and session limits.",Keep the comparison and shared service behavior here. Focused setup and management guidance belongs in the two sibling articles. The concurrent site-user connection limit is shared per site across usernames.
doc-client-ssh,article,Client SSH,Client SSH,client-ssh,/docs/site-access/ssh-sftp/client-ssh/,,Site access,hub-ssh-sftp,2,how_to,maintain,approved,A,validated,reviewed_safe,doc-ssh-sftp|doc-user-ssh-sftp|doc-api-quick-start,"Configure and secure Client SSH for partner developers, support teams, panels, and automation that need full access to a selected WP Cloud site.","Use the official Client SSH feature name. Preserve authentication, aliasable keys, client-authorized-keys, firewall metadata, from restrictions, precedence, practical configurations, and connection behavior."
doc-user-ssh-sftp,article,User SSH and SFTP access,User SSH & SFTP,user-ssh-sftp,/docs/site-access/ssh-sftp/user-ssh-sftp/,,Site access,hub-ssh-sftp,3,how_to,maintain,approved,A,validated,reviewed_safe,doc-ssh-sftp|doc-client-ssh|doc-api-quick-start,"Create and manage site-scoped SSH and SFTP credentials for a partner's customers, developers, or support staff.","Keep hostname, username, password and key behavior, access-type precedence, API user lifecycle, current examples, and verification together. Preserve the per-site concurrency clarification and automation failure pattern."
cat-backups-recovery,category_hub,Backups and restores,Backups and restores,backups-restores,/docs/backups-restores/,,Backups and restores,,9,overview,maintain,ready_for_review,C,validated,reviewed_safe,cat-getting-started|cat-api-reference|cat-sites,"Understand WP Cloud backups, create retained backups, and restore site data.","Category hub for backup behavior, on-demand backups, restores, and Jetpack backups."
doc-backups-overview,article,Backups overview,Backups overview,backups-overview,/docs/backups-restores/backups-overview/,,Backups and restores,cat-backups-recovery,1,overview,maintain,approved,A,validated,reviewed_safe,doc-on-demand-backups|doc-jetpack-backups|doc-restore-backup,"Understand WP Cloud filesystem and database backup schedules, retention, downloads, and failover boundaries.","Cover the backup schedule, retention, access, redundancy, and real-time failover. Keep onboarding summaries brief and link here for details."
doc-on-demand-backups,article,Create an on-demand backup,Create an on-demand backup,on-demand-backups,/docs/backups-restores/on-demand-backups/,,Backups and restores,cat-backups-recovery,2,how_to,maintain,approved,A,validated,reviewed_safe,doc-backups-overview|doc-jetpack-backups|doc-restore-backup,Request and replace on-demand filesystem or database backups through the WP Cloud API.,"Keep quotas, asynchronous behavior, deletion prerequisites, and verification together."
doc-jetpack-backups,article,Jetpack backups,Jetpack backups,jetpack-backups,/docs/backups-restores/jetpack-backups/,,Backups and restores,cat-backups-recovery,4,overview,maintain,approved,A,validated,reviewed_safe,doc-backups-overview|doc-on-demand-backups|doc-restore-backup,Understand Jetpack VaultPress Backup as an optional backup and restore service that WP Cloud partners can offer to customers.,"Keep this separate because it describes a distinct backup system, ownership boundary, and restore path."
doc-restore-backup,article,Restore a backup,Restore a backup,restore-backup,/docs/backups-restores/restore-backup/,,Backups and restores,cat-backups-recovery,3,how_to,maintain,approved,A,validated,reviewed_safe,doc-backups-overview|doc-on-demand-backups|doc-jetpack-backups,Restore automatic or on-demand WP Cloud backups into a recommended new site or restore an existing site in place.,Keep backup restore workflows here. Manual file and database import steps belong in the Manual migration article.
cat-monitoring-observability,category_hub,Monitoring and logs,Monitoring and logs,monitoring-logs,/docs/monitoring-logs/,,Monitoring and logs,,10,overview,maintain,ready_for_review,C,validated,reviewed_safe,cat-getting-started|cat-api-reference|cat-sites,"Inspect site metrics, logs, and application performance data.","Category hub for logs, metrics, Insights, APM, and webhooks."
doc-apm,article,Application performance monitoring,Application performance monitoring,apm,/docs/monitoring-logs/apm/,,Monitoring and logs,cat-monitoring-observability,3,how_to,maintain,approved,A,validated,reviewed_safe,doc-metrics|hub-logs|doc-webhooks|doc-troubleshoot-site-performance,Capture request traces for a short window and inspect application work in the temporary APM viewer.,
hub-logs,topic_hub,Logs,Logs,logs,/docs/monitoring-logs/logs/,,Monitoring and logs,cat-monitoring-observability,2,overview,maintain,ready_for_review,C,validated,reviewed_safe,doc-apm|doc-metrics|doc-webhooks,"Use WP Cloud web server and error logs to inspect requests, application errors, and site behavior during development and troubleshooting.",Replace the empty Logs & Metrics parent with a useful overview of available log sources.
doc-metrics,article,Metrics,Metrics,metrics,/docs/monitoring-logs/metrics/,,Monitoring and logs,cat-monitoring-observability,1,reference,maintain,approved,A,validated,reviewed_safe,doc-apm|hub-logs|doc-webhooks|doc-troubleshoot-site-performance,"Query and interpret WP Cloud time-series Metrics for edge traffic, PHP, visitors, MySQL, and site resources.",
doc-webhooks,article,Webhooks,Webhooks,webhooks,/docs/api-automation/webhooks/,,API & automation,cat-api-reference,3,reference,maintain,approved,A,validated,reviewed_safe,doc-api-quick-start|doc-api-access|doc-tasks|doc-on-demand-backups,"Configure WP Cloud webhooks, handle event payloads, and validate webhook signatures.",
doc-error-logs,article,Error logs,Error logs,error-logs,/docs/monitoring-logs/logs/error-logs/,,Monitoring and logs,hub-logs,1,reference,maintain,approved,A,validated,reviewed_safe,doc-web-server-logs|doc-apm|doc-troubleshoot-site-performance,Retrieve WP Cloud PHP error logs and understand how debugging settings and rate limits affect them.,
doc-web-server-logs,article,Web server logs,Web server logs,web-server-logs,/docs/monitoring-logs/logs/web-server-logs/,,Monitoring and logs,hub-logs,2,reference,maintain,approved,B,validated,reviewed_safe,doc-error-logs|doc-metrics|doc-troubleshoot-site-performance,Retrieve WP Cloud origin web server logs and use Metrics for requests served at the edge.,WP Cloud can return 408 to Googlebot for an underlying 5xx response. Direct readers to investigate the original application failure in PHP error logs.
doc-tasks,article,Run bulk tasks across sites,Bulk tasks,bulk-tasks,/docs/api-automation/bulk-tasks/,,API & automation,cat-api-reference,4,how_to,maintain,approved,A,validated,reviewed_safe,,Run and monitor one supported operation across many sites in a WP Cloud host client account.,
cat-migrations,category_hub,Migrations,Migrations,migrations,/docs/migrations/,,Migrations,,4,overview,maintain,ready_for_review,C,validated,reviewed_safe,cat-getting-started|cat-api-reference|cat-sites,Move WordPress sites to WP Cloud with the platform migration tooling.,"Category hub for migration workflows, tooling, and migration media."
doc-manual-migration,article,Manually migrate a site,Manually migrate a site,manual-migration,/docs/migrations/manual-migration/,,Migrations,cat-migrations,99,tutorial,defer,needs_technical_review,A,deferred,reviewed_safe,doc-migration-tooling,Move WordPress files and a database archive into a WP Cloud site through SSH or SFTP.,Keep the manual file and database migration workflow here; restore-only guidance belongs in Restore a backup. Publication remains deferred in favor of native migration tooling. Reassess image and 10 GB constraints before publication.
doc-migration-tooling,article,Migrate a site to WP Cloud,Migrate a site,migrate-site,/docs/migrations/migrate-site/,,Migrations,cat-migrations,1,tutorial,maintain,approved,A,validated,reviewed_safe,doc-api-quick-start,"Prepare, preflight, run, and monitor an SSH migration into a WP Cloud site.",Supplemental video material requires current workflow review plus captions or a transcript before reuse.
cat-troubleshooting,category_hub,Troubleshooting,Troubleshooting,troubleshooting,/docs/troubleshooting/,,Troubleshooting,,14,overview,maintain,not_started,C,not_started,not_started,doc-troubleshoot-page-edge-cache|doc-troubleshoot-429-599|doc-troubleshoot-site-performance,"Diagnose common site, cache, email, certificate, and performance problems.",Use one short term description; the theme lists child categories and articles automatically.
doc-troubleshoot-page-edge-cache,article,Troubleshoot Page and Edge Cache,Page & Edge Cache Issues,page-edge-cache,/docs/troubleshooting/page-edge-cache/,,Troubleshooting,cat-troubleshooting,1,troubleshooting,maintain,approved,A,validated,reviewed_safe,doc-edge-cache|doc-page-cache|doc-troubleshoot-429-599|doc-troubleshoot-site-performance,"Diagnose Page Cache and Edge Cache misses using response headers, cookies, cache controls, bypass code, and plugin errors.","Keep common caching failures, plugin errors, and cache FAQ guidance here. Configuration examples remain in the Page Cache article."
doc-troubleshoot-429-599,article,Troubleshoot HTTP 429 and 599 errors,HTTP 429 & 599 Errors,429-599-errors,/docs/troubleshooting/429-599-errors/,,Troubleshooting,cat-troubleshooting,2,troubleshooting,maintain,approved,A,validated,reviewed_safe,doc-rate-limiting|doc-ddos-defensive-mode|doc-troubleshoot-site-performance|doc-edge-cache|doc-page-cache,"Partner support teams can distinguish visitor-facing HTTP 429 responses from WP Cloud HTTP 599 records, diagnose likely causes, and verify whether mitigation restored legitimate traffic.","Keep this article symptom-specific. Link the reusable Metrics, APM, debugging-plugin, and WP-CLI profiling workflow to doc-troubleshoot-site-performance."
doc-troubleshoot-site-performance,article,Troubleshoot site performance,Site performance,site-performance,/docs/troubleshooting/site-performance/,,Troubleshooting,cat-troubleshooting,4,troubleshooting,maintain,approved,A,validated,reviewed_safe,doc-metrics|doc-apm|doc-web-server-logs|doc-error-logs|doc-object-cache|doc-troubleshoot-page-edge-cache|doc-troubleshoot-429-599,"Use Metrics, logs, APM, WordPress debugging tools, and WP-CLI profiling to diagnose slow or resource-heavy requests.",Keep reusable performance-investigation tools here; symptom-specific 429 and 599 diagnosis remains in its focused article.
doc-troubleshoot-core-config-admin,article,"Troubleshoot duplicate core files, wp-config.php, and wp-admin 403 errors","Core, Config & wp-admin Issues",troubleshoot-core-config-admin,/docs/troubleshooting/troubleshoot-core-config-admin/,,Troubleshooting,cat-troubleshooting,6,troubleshooting,maintain,approved,A,validated,reviewed_safe,doc-default-wp-config|doc-managed-software|doc-client-ssh,"Resolve WP-CLI and wp-admin failures caused by duplicate WordPress core files or a missing, invalid, or mismatched wp-config.php.",
doc-troubleshoot-email-delivery,article,Troubleshoot email delivery,Troubleshoot email delivery,troubleshoot-email-delivery,/docs/troubleshooting/troubleshoot-email-delivery/,,Troubleshooting,cat-troubleshooting,7,troubleshooting,maintain,approved,A,validated,reviewed_safe,doc-wordpress-email|doc-webhooks,"Diagnose transactional email blocks, DNS and sender problems, plugin behavior, recipient filtering, and delivery limits.","Keep basic delivery troubleshooting here. Link architecture, DNS, block APIs, and external providers back to the Transactional email article."
doc-pdf-thumbnail-generation,article,Troubleshoot PDF thumbnail generation,PDF Thumbnail Issues,pdf-thumbnail-generation,/docs/troubleshooting/pdf-thumbnail-generation/,,Troubleshooting,cat-troubleshooting,8,troubleshooting,maintain,approved,B,validated,reviewed_safe,doc-image-transformation|doc-intermediate-image-offloading,Understand why WordPress does not generate PDF preview images on WP Cloud and choose an external thumbnail workflow.,
cat-integrations,category_hub,Integrations,Integrations,integrations,/docs/integrations/,,Integrations,,12,overview,maintain,ready_for_review,C,validated,reviewed_safe,cat-getting-started|cat-api-reference|cat-sites,Connect supported partner panels and tools to WP Cloud.,"Category hub for partner panels, dashboards, and supported integration workflows."
doc-easyengine,article,EasyEngine integration,EasyEngine integration,easyengine,/docs/integrations/easyengine/,,Integrations,cat-integrations,1,tutorial,maintain,approved,A,validated,reviewed_safe,doc-api-access|doc-site-meta|doc-wp-cloud-billing|doc-panelalpha,"Connect an EasyEngine dashboard to a WP Cloud host account, secure its API access, and create a test site.",
doc-panelalpha,article,PanelAlpha integration,PanelAlpha integration,panelalpha,/docs/integrations/panelalpha/,,Integrations,cat-integrations,2,tutorial,maintain,approved,A,validated,reviewed_safe,doc-api-access|doc-client-ssh|doc-site-meta|doc-easyengine,"Connect a self-hosted PanelAlpha control panel to WP Cloud, configure secure API and Client SSH access, and test the customer workflow.",
doc-wp-cloud-station,article,WP Cloud Station,WP Cloud Station,wp-cloud-station,/docs/integrations/wp-cloud-station/,,Integrations,cat-integrations,3,tutorial,maintain,needs_technical_review,B,validated,reviewed_safe,doc-api-access|doc-api-quick-start|doc-easyengine|doc-panelalpha,Install the experimental WP Cloud Station dashboard on a test WordPress site and use it as an API integration example.,
cat-policies-reference,category_hub,Partner resources,Partner resources,partner-resources,/docs/partner-resources/,,Partner resources,,13,overview,maintain,ready_for_review,C,validated,reviewed_safe,cat-getting-started|cat-api-reference|cat-sites,"Find partner billing, branding, policy, compliance, and support information.","Category hub for billing, compliance, legal, branding, and partnership reference material."
doc-compliance,article,Compliance,Compliance,compliance,/docs/partner-resources/policies-compliance/compliance/,,Partner resources,hub-policies-compliance,1,reference,maintain,needs_technical_review,A,validated,reviewed_safe,doc-prohibited-content|doc-copyright-takedown|doc-getting-support,"Review WP Cloud privacy, health-information, and data-center compliance boundaries before offering a regulated service.",
doc-copyright-takedown,article,Copyright infringement and takedown notifications,Copyright infringement and takedown notifications,copyright-takedown,/docs/partner-resources/policies-compliance/copyright-takedown/,,Partner resources,hub-policies-compliance,3,reference,maintain,needs_technical_review,A,validated,reviewed_safe,doc-prohibited-content|doc-compliance|doc-getting-support,"Understand a WP Cloud host partner's response deadline, choices, and repeat-infringer responsibilities after a copyright notice.",
doc-prohibited-content,article,Prohibited content,Prohibited content,prohibited-content,/docs/partner-resources/policies-compliance/prohibited-content/,,Partner resources,hub-policies-compliance,2,reference,maintain,needs_technical_review,A,validated,reviewed_safe,doc-compliance|doc-copyright-takedown|doc-wordpress-email,Understand content and activity that WP Cloud host partners must prohibit in their products and end-user sites.,
doc-white-labelling,article,White labelling and co-marketing WP Cloud,White labelling and co-marketing WP Cloud,white-labelling,/docs/partner-resources/branding-marketing/white-labelling/,,Partner resources,hub-branding-marketing,1,overview,maintain,approved,B,validated,reviewed_safe,doc-wp-cloud-logos|doc-agencies-site-networks|doc-partner-portal,"Choose whether to white label WP Cloud, co-market the platform, or combine both approaches in a host partner product.",
doc-wp-cloud-billing,article,WP Cloud billing,WP Cloud billing,wp-cloud-billing,/docs/partner-resources/wp-cloud-billing/,,Partner resources,cat-policies-reference,3,reference,maintain,approved,A,validated,reviewed_safe,doc-partner-portal|doc-site-meta|doc-staging-sites,"Understand monthly WP Cloud billing, allocated resources, staging-site treatment, plan changes, and payment responsibilities.","Preserve the 30-, 60-, and 90-day delinquency consequences. Supplemental video material requires current pricing review plus captions or a transcript before reuse."
doc-agencies-site-networks,article,WP Cloud for agencies and site networks,WP Cloud for agencies and site networks,agencies-site-networks,/docs/partner-resources/agencies-site-networks/,,Partner resources,cat-policies-reference,4,overview,maintain,approved,B,validated,reviewed_safe,doc-key-onboarding-steps|doc-api-quick-start|doc-white-labelling,Decide whether a direct WP Cloud integration or an existing WP Cloud-powered host better fits an agency or site network.,
doc-wp-cloud-logos,article,WP Cloud logos,WP Cloud logos,wp-cloud-logos,/docs/partner-resources/branding-marketing/wp-cloud-logos/,,Partner resources,hub-branding-marketing,2,reference,maintain,approved,C,validated,reviewed_safe,doc-white-labelling|doc-getting-support,Download current WP Cloud brand assets for approved co-marketing and partner materials.,
ext-api-reference,canonical_external,WP Cloud API reference,API Reference,,,https://wp.cloud/docs/api/,,,,not_applicable,maintain,not_applicable,not_applicable,not_applicable,not_applicable,,,"Use this destination for generated endpoint definitions. Contextual articles keep workflows, caveats, and examples without copying the endpoint reference."
ext-feature-roadmap,canonical_external,WP Cloud product updates,WP Cloud product updates,,,https://wp.cloud/blog/,,,,not_applicable,maintain,not_applicable,not_applicable,not_applicable,not_applicable,,,Replace the static roadmap page with the maintained public WP Cloud blog.
hub-database-access,topic_hub,Database access,Database access,database-access,/docs/site-access/database-access/,,Site access,cat-access-users,2,navigation,maintain,ready_for_review,C,not_applicable,reviewed_safe,,Connect to a site database with managed credentials or phpMyAdmin.,Short topic hub; the theme lists child articles automatically.
hub-wordpress-configuration,topic_hub,WordPress configuration,WordPress configuration,configuration,/docs/wordpress/configuration/,,WordPress on WP Cloud,cat-wordpress-management,1,navigation,maintain,ready_for_review,C,not_applicable,reviewed_safe,,"Understand WP Cloud paths, configuration files, constants, redirects, and headers.",Short topic hub; the theme lists child articles automatically.
hub-security-traffic-protection,topic_hub,Traffic protection,Traffic protection,traffic-protection,/docs/security/traffic-protection/,,Security,cat-security,1,navigation,maintain,ready_for_review,C,not_applicable,reviewed_safe,,"Understand and configure WP Cloud traffic filtering, rate limiting, and DDoS protections.",Short topic hub; the theme lists child articles automatically.
hub-security-login-protection,topic_hub,Login protection,Login protection,login-protection,/docs/security/login-protection/,,Security,cat-security,2,navigation,maintain,ready_for_review,C,not_applicable,reviewed_safe,,Protect WordPress login and password-reset flows from unwanted access and automated traffic.,Short topic hub; the theme lists child articles automatically.
hub-security-site-security,topic_hub,Site security,Site security,site-security,/docs/security/site-security/,,Security,cat-security,3,navigation,maintain,ready_for_review,C,not_applicable,reviewed_safe,,"Manage site-level security controls, permissions, scanning, and incident response.",Short topic hub; the theme lists child articles automatically.
hub-branding-marketing,topic_hub,Branding and marketing,Branding and marketing,branding-marketing,/docs/partner-resources/branding-marketing/,,Partner resources,cat-policies-reference,1,navigation,maintain,ready_for_review,C,not_applicable,reviewed_safe,,Use WP Cloud branding and co-marketing resources in partner products and campaigns.,Short topic hub; the theme lists child articles automatically.
hub-policies-compliance,topic_hub,Policies and compliance,Policies and compliance,policies-compliance,/docs/partner-resources/policies-compliance/,,Partner resources,cat-policies-reference,2,navigation,maintain,ready_for_review,C,not_applicable,reviewed_safe,,"Review the policies, compliance guidance, and reporting processes that apply to WP Cloud partners.",Short topic hub; the theme lists child articles automatically.
doc-ddos-protection,article,DDoS protection,DDoS protection,ddos-protection,/docs/security/traffic-protection/ddos-protection/,,Security,hub-security-traffic-protection,1,overview,maintain,ready_for_review,A,validated,reviewed_safe,doc-edge-cache|doc-rate-limiting|doc-ddos-defensive-mode|doc-cloudflare,"Learn how WP Cloud routes, filters, and mitigates denial-of-service traffic before it reaches WordPress.",Keep the platform DDoS architecture and third-party proxy guidance here.
doc-troubleshoot-tls-provisioning,article,Troubleshoot TLS certificate provisioning,Troubleshoot TLS provisioning,tls-certificate-provisioning,/docs/troubleshooting/tls-certificate-provisioning/,,Troubleshooting,cat-troubleshooting,9,troubleshooting,maintain,ready_for_review,A,validated,reviewed_safe,doc-tls-certificates|doc-manage-domains|doc-domain-verification-records|doc-cloudflare|ext-api-reference,"Diagnose DNS, authorization, proxy, retry, and compatibility problems that prevent TLS certificate provisioning.","Keep DNS, HTTP-01, authorization, proxy, retry, and cipher diagnostics here."
